（親）ASIN,（子）ASIN,タイトル,セッション数 - 合計,セッション率 - 合計,ページビュー - 合計,ページビュー率 - 合計,おすすめ出品（おすすめ商品）の獲得率,注文された商品点数,ユニットセッション率,注文商品の売上額,注文品目総数,商品が返金されました,返金率
B0FK3TJSSH,B0FK3MP5PG,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",12,0.29%,13,0.23%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FK3NP9QN,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",9,0.22%,11,0.20%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FKT2FZQD,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",28,0.67%,36,0.64%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FKT53LYH,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",6,0.14%,8,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FKT5JN1J,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",17,0.41%,21,0.38%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FKT5TGJW,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 26.5 cm)",4,0.10%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVSKT393,B0FKTLSVXJ,"[CALM.st] ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",17,0.41%,20,0.36%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVSKT393,B0FKTNY44D,"[CALM.st] ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",9,0.22%,12,0.21%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVSKT393,B0FKTPS9FS,"[CALM.st] ランニング シューズ メッシュ レディース トレーニング スポーツ 作業 軽量 カジュアル ジム (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",5,0.12%,5,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FL7XXQLN,B0FL7KZYZ9,"[CALM.st] ビーチサンダル メンズ 鼻緒 ビーチ トングサンダル 島ぞうり 草履 軽量 外履き アウトドア (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",5,0.12%,5,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FL7XXQLN,B0FL7Q73ZD,"[CALM.st] ビーチサンダル メンズ 鼻緒 ビーチ トングサンダル 島ぞうり 草履 軽量 外履き アウトドア (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",23,0.55%,28,0.50%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDG685PG,B0FL7ZW5NR,"[CALM.st] レディース ファスナー 膝下 スカート ミモレ 通年 タイト 着痩せ ロング マキシ丈 きれいめ (JP, アルファベット,2XL, ブラック)",47,1.13%,72,1.29%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FL86P6Z5,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラックレッド, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",7,0.17%,10,0.18%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLLPQP,B0FL87S228,"[CALM.st] ヘンリーネック Tシャツ 半袖 レディース 綿麻 サラサラ 無地 体型カバー 涼感 トップス 高見え (JP, アルファベット, XL, ホワイト)",3,0.07%,3,0.05%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FL9DHDWW,B0FL8FJYCZ, ,3,0.07%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FL9DHDWW,B0FL8TN6FW,"[CALM.st] フォーマルジューズ キラキラ リボン 女の子 ドレス サンダル 発表会 結婚式 七五三 パーティー (シルバー, 日本の靴のサイズ寸法, キッズ, 数値, 18.0 cm)",2,0.05%,2,0.04%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FL9DHDWW,B0FL8ZDHZC,"[CALM.st] フォーマルジューズ キラキラ リボン 女の子 ドレス サンダル 発表会 結婚式 七五三 パーティー (シルバー, 日本の靴のサイズ寸法, キッズ, 数値, 19.0 cm)",3,0.07%,3,0.05%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FLF1SYT9,B0FLDWL1FP,"[CALM.st] ビーチサンダル メンズ ルームシューズ トング 防滑 夏 鼻緒サンダル カジュアル アウトドア (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",3,0.07%,3,0.05%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FK3TJSSH,B0FLDXWQM2,"[CALM.st] メンズ レイン シューズ 防水 雨 園芸 農業 通勤 ショート丈 長靴 釣り 通学 梅雨 学校 無地 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",2,0.05%,2,0.04%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FLF1SYT9,B0FLDZ1J85,"[CALM.st] ビーチサンダル メンズ ルームシューズ トング 防滑 夏 鼻緒サンダル カジュアル アウトドア (ブラウン, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",1,0.02%,1,0.02%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGVLZD3B,B0FMDZ21WP,"[CALM.st] レース カーディガン レディース 7分袖 ロング丈 薄手 UVカット シアー 冷房 花柄 フレア (JP, アルファベット, XL, ブラック(刺繍))",1,0.02%,1,0.02%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDRD4JZ4,B0FMF3BXRD,"[CALM.st] ノースリーブ ワンピース 膝丈 ポケット 体型 カバー 着痩せ レディース フレンチ ミディアム (JP, アルファベット, 2XL, ブラック)",3,0.07%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FMF6D7KB,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, XL, ブラック)",2,0.05%,2,0.04%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDGHSR2K,B0FMFDM82V,"[CALM.st] サテン キャミソール レディース インナー スクエアネック 肩紐隠し タンクトップ 重ね着 トップス (JP, アルファベット, M, ホワイト)",9,0.22%,11,0.20%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FGWL2QPR,B0FMFFKT3D,"[CALM.st] サンダル 厚底 作業 靴 メンズ ビーチ 軽量 スポーティー 日常 レジャー フラット フッドベット (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 26.5 cm)",27,0.65%,35,0.63%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0FMP4M3PB,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",8,0.19%,11,0.20%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0FMP561DH,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",4,0.10%,9,0.16%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPRHKVYT,B0FMP64CML,"ボディバッグ メンズ 小さめ 防水 斜めがけ ウエストポーチ ショルダーバッグ 軽量 ランニング (ブラック(クラシック), クラシックメッセンジャー))",34,0.82%,51,0.91%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0FMP69W6Z,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",5,0.12%,6,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPRHKVYT,B0FMP6T3PQ,ボディバッグ メンズ 小さめ 防水 斜めがけ ウエストポーチ ショルダーバッグ 軽量 ランニング (ブラック(スリム)),13,0.31%,15,0.27%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVNSW9PB,B0FMP7P3LP,[CALM.st] メンズ トート バッグ 大容量 ビジネス 軽量 2way シンプル お洒落 ショルダー ファスナー,212,5.10%,375,6.70%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FMP7ZXFW,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",14,0.34%,18,0.32%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FMP88NS8,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",13,0.31%,15,0.27%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FKT7CSLG,B0FMPBN638,"[CALM.st] サンダル スポーツ 厚底 アウトドア メンズ レジャー 作業 靴 外履き 室内 通気性 快適 幅広 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",11,0.26%,12,0.21%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FP5J5TTH,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",5,0.12%,6,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FP5K8J5T,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",8,0.19%,8,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FP5L4D9K,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",6,0.14%,7,0.13%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVSJNBZ7,B0FPGCDLM2,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこホワイトL),66,1.59%,74,1.32%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVSJNBZ7,B0FPGD3B3V,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこブラックL),71,1.71%,79,1.41%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FVSJNBZ7,B0FPGGYLTQ,[CALM.st] ポップコーンバッグ トート キルティング 大容量 マザーズ 軽量 レディース ワッフル 韓国 (もこもこブラックS),63,1.52%,85,1.52%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0FPGJTC2K,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 27.0 cm)",11,0.26%,14,0.25%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0FPGKL6V3,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",3,0.07%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0FPGLMYKL,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 26.0 cm)",7,0.17%,7,0.13%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FQ634CN3,B0FQ5Z5RDN,[CALM.st] スマホポーチ ショルダー スマホ メンズ 小さめ ポシェット スマホケース サコッシュ 斜めがけ (ダークブルー),7,0.17%,14,0.25%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWLJK1M,B0FRSS4H9X,"[CALM.st] ワンピース キャミ 薄手 夏 レディース ロング 肩ひも調整 マタニティ Aライン フレア ゆったり (JP, アルファベット, 5L, ブラック)",7,0.17%,8,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6M1SL8,B0FS2BZYV2,[CALM.st] トートバッグ キャンバス 軽量 仕切り 自立 マチ広 ハンドバッグ シンプル レディース (ブラックB スモール (ショルダー有り)),143,3.44%,185,3.30%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6M1SL8,B0FS2DRM1K,[CALM.st] トートバッグ キャンバス 軽量 仕切り 自立 マチ広 ハンドバッグ シンプル レディース (ブラックA ラージ),99,2.38%,133,2.38%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS2QMSVD,財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー (ホワイト),22,0.53%,25,0.45%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS31JVSQ,財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー (ブラック),19,0.46%,19,0.34%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS388KNJ,財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー (ブラウン),21,0.51%,26,0.46%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS6M1SL8,B0FS6M1SL8,[CALM.st] トートバッグ キャンバス 軽量 仕切り 自立 マチ広 ハンドバッグ シンプル レディース,2,0.05%,2,0.04%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FS6P47DH,B0FS6P47DH,[CALM.st] 財布 ミニ財布 コンパクト カードケース メンズ 本革 薄型 2つ折り 小銭入れ 大容量 ファスナー,1,0.02%,1,0.02%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FS81R2FB,B0FS7X8LXR,"[CALM.st] ワンピース ロング丈 ドッキング 長袖 レディース ニット 異素材 切替 大きいサイズ きれいめ (JP, アルファベット, 2XL, ブラック)",18,0.43%,22,0.39%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS82SX3X,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, XS, ブラック)",13,0.31%,19,0.34%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS83JPTG,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, S, ホワイト)",13,0.31%,16,0.29%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS81R2FB,B0FS83SD3R,"[CALM.st] ワンピース ロング丈 ドッキング 長袖 レディース ニット 異素材 切替 大きいサイズ きれいめ (JP, アルファベット, 4XL, ブラック)",22,0.53%,72,1.29%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0FS86G4PF,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, XS, ホワイト)",18,0.43%,18,0.32%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FST32ZJ5,B0FSS4CKN6,[CALM.st] 00054-BK-25,17,0.41%,19,0.34%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FST32ZJ5,B0FSSPTF3X,[CALM.st] 厚底 ブーツ ショートブーツ レディース レースアップ ブーティー 軽量 サイドジッパー コスプレ,40,0.96%,45,0.80%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FST32ZJ5,B0FST32ZJ5,[CALM.st] 厚底 ブーツ ショートブーツ レディース レースアップ ブーティー 軽量 サイドジッパー コスプレ,1,0.02%,2,0.04%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0FV3S387D,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",10,0.24%,10,0.18%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXH9F9MV,B0FX44NK9K,"[CALM.st] ワイドパンツ レディース きれいめ ロング ガウチョ フレア パンツ スカーチョ 通年 韓国風 ハイウエスト 9分丈 (JP, アルファベット, XL, ライトブラウン)",10,0.24%,15,0.27%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHB2T63,B0FX458WXY,[CALM.st] トレーナー レディース スウェット 長袖 丸首 プルオーバー ゆったり 刺繍 シンプル 無地 韓国,25,0.60%,30,0.54%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FX45F52W,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.0 cm)",1,0.02%,1,0.02%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FXH9F9MV,B0FX47ZP8N,"[CALM.st] ワイドパンツ レディース きれいめ ロング ガウチョ フレア パンツ スカーチョ 通年 韓国風 ハイウエスト 9分丈 (JP, アルファベット, XL, ブラック)",22,0.53%,30,0.54%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHB2T63,B0FX48RL4B,"[CALM.st] トレーナー レディース スウェット 長袖 丸首 プルオーバー ゆったり 刺繍 シンプル 無地 韓国 (JP, アルファベット, L, ブラック)",4,0.10%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FX495PLD,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.0 cm)",8,0.19%,10,0.18%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHB2T63,B0FX49FR44,"[CALM.st] トレーナー レディース スウェット 長袖 丸首 プルオーバー ゆったり 刺繍 シンプル 無地 韓国 (JP, アルファベット, XL, ブラック)",2,0.05%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPRHKVYT,B0FX4D9B6G,ボディバッグ メンズ 小さめ 防水 斜めがけ ウエストポーチ ショルダーバッグ 軽量 ランニング,43,1.03%,55,0.98%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHB2T63,B0FXHB2T63,[CALM.st] トレーナー レディース スウェット 長袖 丸首 プルオーバー ゆったり 刺繍 シンプル 無地 韓国,1,0.02%,1,0.02%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FXHBNQ7V,[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール,1,0.02%,1,0.02%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0FXWKCD41,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",13,0.31%,18,0.32%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FYQR4STD,B0FY2NCWZK,"[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着 (JP, アルファベット, XL, ブラック)",115,2.77%,147,2.63%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FYQR4STD,B0FY2R12JW,[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着,44,1.06%,54,0.96%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FYQR4STD,B0FY2S9PZF,"[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着 (JP, アルファベット, 2XL, ブラック)",9,0.22%,9,0.16%,100.00%,0,0.00%,￥0,0,1,0.00%
B0FYQR4STD,B0FYQR4STD,[CALM.st] ワンピース レディース 無地 ロングワンピース 長袖 ハーフハイネック レトロ シンプル ポケット付き 体型カバー ゆったり 普段着,1,0.02%,1,0.02%,0.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0G19Z4CR3,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.5 cm)",8,0.19%,9,0.16%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FXHBNQ7V,B0G1B4NXFL,"[CALM.st] パンプス レディース ローヒール 靴 歩きやすい リクルート オフィス フォーマル 就活 通勤 出張 1cmヒール (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 25.5 cm)",5,0.12%,6,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1NGV72B,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,7,0.17%,7,0.13%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0G1S55DW2,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (グレー, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",7,0.17%,9,0.16%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FDWKWXD6,B0G1S5F6KC,"[CALM.st] メッシュ パンプス レディース フラット ローヒール 通勤 幅広 軽量 走れる 美脚 立ち仕事 (ベージュ, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",7,0.17%,7,0.13%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FPGPFXNK,B0G1S73QSF,"[CALM.st] スニーカー ランニングシューズ 軽量 メンズ ジョギング ウォーキング ジム 通気 運動靴 通学 (ブラック (高密度メッシュ), 日本の靴のサイズ寸法, 大人, 数値, 26.5 cm)",4,0.10%,5,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0G1SBD7DM,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",3,0.07%,5,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FMPH1BZ3,B0G1SBYNGB,"[CALM.st] レディース スニーカー メッシュ 軽量 通気性 ランニングシューズ 春夏秋 幅広 サイズ 黒 白 (ブラック, 日本の靴のサイズ寸法, 大人, 数値, 24.5 cm)",5,0.12%,5,0.09%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1Y2Y6DV,[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック,1,0.02%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1Y337ST,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, M, ブラック)",6,0.14%,6,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0FS83BQ26,B0G1Y71TQV,"[CALM.st] タンクトップ キャミソール レディース リブ ブラ紐隠し インナー 伸縮性 細身 Uネック (JP, アルファベット, M, ブラック/ホワイト)",6,0.14%,6,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CJFSVV,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラック(フィット), XL)",2,0.05%,2,0.04%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CJXNBM,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラック(フィット), M)",3,0.07%,3,0.05%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YXDX61,B0G2CK1PWN,"[CALM.st] 腹巻 薄手 厚手 温活 ウエストウォーマー 防寒 冷え対策 レディース 綿 ボア 伸縮フィット マタニティ 就寝 メンズ (1, ブラック(フィット), L)",4,0.10%,4,0.07%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CPZMM6,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, XL, ブラック)",1,0.02%,1,0.02%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CQDP1F,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, L, ブラック)",3,0.07%,3,0.05%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2M8VJLW,B0G2CQRDKL,[CALM.st] 靴下 レディース ソックス くるぶし 綿 防臭 通気 吸汗 脱げない セット 無地 シンプル オフィス カジュアル スポーツ ギフト 3足 5足 (5),1,0.02%,1,0.02%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2YQQZMV,B0G2CRS7N5,"[CALM.st] 猫 ねこ スリッパ もふもふ 室内 冬用 猫柄 ルームシューズ 洗える もこもこ レディース 保温 防寒 滑り止め 厚底 オフィス 男女兼用 (黒猫B, 標準, 日本の靴のサイズ寸法, 大人, 数値, 23.0 cm)",6,0.14%,6,0.11%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CSW3KY,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, M, ブラック)",7,0.17%,8,0.14%,100.00%,0,0.00%,￥0,0,0,0.00%
B0G2Z13C8S,B0G2CTDKRX,"[CALM.st] カーディガン ニット レディース 薄手 前開き 体型カバー 高見え ゆったり セーター シンプル 上品 伸縮 保温 カジュアル オフィス 通勤 日常 羽織 (JP, アルファベット, 2XL, ブラック)",3,0.07%,3,0.05%,100.00%,0,0.00%,￥0,0,0,0.00%
